folderidx,float,profileidx,year,month,day,lat,lon,nlat,nlon,ts1,ts2,ts3,ts4,ts5,ts6,ts7,ts8,ssh_slope,ssh_dir,bath_slope,bath_dir,roughness
0.000000000000000000e+00,1.901932000000000000e+06,2.700000000000000000e+01,2.022000000000000000e+03,2.000000000000000000e+00,1.100000000000000000e+01,-4.330259999999999820e+01,6.915070000000000050e+01,-4.268379999999999797e+01,6.882920000000000016e+01,-8.392159392842998500e+00,-3.300792439077583129e+00,-2.213013555565356505e+00,-3.218869820258531078e+00,-4.696019693645701598e-01,-7.188016972455768538e-01,-1.596746924777906196e-01,-3.218803886638284539e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,2.800000000000000000e+01,2.022000000000000000e+03,2.000000000000000000e+00,2.100000000000000000e+01,-4.268379999999999797e+01,6.882920000000000016e+01,-4.157959999999999923e+01,6.949339999999999407e+01,-9.721610413746919477e+00,-3.187886214837708732e+00,-1.863529205854854487e+00,-4.183309662734589374e+00,-1.797671242473003750e-01,-5.923494712334870238e-01,-4.138465259690465303e-01,-2.390254789274711411e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,2.900000000000000000e+01,2.022000000000000000e+03,3.000000000000000000e+00,3.000000000000000000e+00,-4.157959999999999923e+01,6.949339999999999407e+01,-4.082229999999999848e+01,6.916649999999999920e+01,-1.248282233258544593e+01,-2.406937687118978708e+00,-9.058821760158041192e-01,-5.294959957613161627e+00,1.982716134258876717e-01,2.722456000593665992e-01,-2.374990441852950496e-01,-2.197590373880967674e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,3.000000000000000000e+01,2.022000000000000000e+03,3.000000000000000000e+00,1.300000000000000000e+01,-4.082229999999999848e+01,6.916649999999999920e+01,-4.016810000000000258e+01,6.861849999999999739e+01,-1.255374173463793852e+01,-2.480753335792506675e+00,-1.165099956985486296e+00,-5.531836643438780676e+00,2.224650088258574299e-01,1.705059081114536079e-01,-3.957341083730249176e-01,-2.743489260237464977e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,3.200000000000000000e+01,2.022000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,-3.964180000000000348e+01,6.824639999999999418e+01,-3.927790000000000248e+01,6.782850000000000534e+01,-1.031632521741940955e+01,-2.655660692649667087e+00,-2.718815917517571346e-01,-4.743952609799397813e+00,1.624711212590509435e-01,2.436362800093886394e-01,-3.019361607998921060e-01,1.840146108803250302e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,3.500000000000000000e+01,2.022000000000000000e+03,5.000000000000000000e+00,1.000000000000000000e+00,-3.883740000000000236e+01,6.697180000000000177e+01,-3.881479999999999819e+01,6.662239999999999895e+01,-1.109751213032111039e+01,-2.558072814778389770e+00,-1.128798592727737748e+00,-5.096909274148673674e+00,9.032483545782377110e-02,-3.804706798516861999e-01,-4.153436229657269663e-01,-3.633086458399285845e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,3.600000000000000000e+01,2.022000000000000000e+03,5.000000000000000000e+00,1.100000000000000000e+01,-3.881479999999999819e+01,6.662239999999999895e+01,-3.873700000000000188e+01,6.565980000000000416e+01,-1.094475586761561914e+01,-2.719524651644950719e+00,-1.478252072620014790e+00,-4.664255072334727359e+00,-4.939163066652495215e-02,-2.475831023923580898e-01,-2.115679539806622489e-01,-1.968298901630651521e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,3.800000000000000000e+01,2.022000000000000000e+03,5.000000000000000000e+00,3.100000000000000000e+01,-3.833039999999999736e+01,6.444459999999999411e+01,-3.775710000000000122e+01,6.428199999999999648e+01,-1.022390451442177550e+01,-2.827091631310588493e+00,-1.812734865385108529e+00,-4.337520753937903706e+00,-1.702286712606253527e-01,-5.423930298761441282e-01,-2.743199532034421573e-01,-1.151474766786741155e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,3.900000000000000000e+01,2.022000000000000000e+03,6.000000000000000000e+00,1.000000000000000000e+01,-3.775710000000000122e+01,6.428199999999999648e+01,-3.766590000000000060e+01,6.477779999999999916e+01,-9.791019173744862414e+00,-2.731264277769753779e+00,-1.672480165948614816e+00,-3.324193993260954549e+00,-3.028443212518876493e-01,-3.237009613478634140e-01,3.018685505823540671e-01,-2.506920231161932078e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,4.000000000000000000e+01,2.022000000000000000e+03,6.000000000000000000e+00,2.000000000000000000e+01,-3.766590000000000060e+01,6.477779999999999916e+01,-3.770700000000000074e+01,6.491330000000000666e+01,-1.006714685419866839e+01,-2.848255873712568498e+00,-2.180192195945174216e+00,-3.853956107034017364e+00,-2.393716469768333022e-01,-5.334195651925767168e-01,-2.681873908494315506e-01,4.795627714076608483e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
